specObjID,ra,dec,z,class
7333043652522602496,0.0099009035999984,24.197418,0.4667767,GALAXY
7919761474275962880,0.00993816769999967,-4.4678015,0.1020581,GALAXY
8047037641940201472,0.00995968379999113,-6.3606239,0.2731011,GALAXY
8043492541406572544,0.00996514420000949,32.271345,0.5617566,GALAXY
845638828734572544,0.010059702,14.821971,0.1568754,GALAXY
7919761199398055936,0.0100647660000277,-4.6481475,0.5529764,GALAXY
2954450764359034880,0.010127,-3.841328,-0.0001610665,STAR
5106056231404630016,0.0102725209999903,6.9268023,0.3408508,GALAXY
4815515500505919488,0.0103599999999915,3.423548,0.6192303,GALAXY
8032285219418206208,0.0103892569999857,29.299551,0.6589873,GALAXY
7742944611031248896,0.0104175309999732,26.13937,0.3202252,GALAXY
844558833169754112,0.010741462,15.041193,0.1481263,GALAXY
4959593860780716032,0.0107499999999732,5.5539737,0.51323,GALAXY
6898653816788021248,0.0108303729999761,20.052341,0.2794614,GALAXY
3156028354046486528,0.010840777,28.407894,1.224334,QSO
4902356033479569408,0.0108643400000119,-1.2899676,0.4922195,GALAXY
2676426048610081792,0.0110000000000241,57.052319,-0.0001706184,STAR
6898655466055462912,0.0110061849999852,19.83073,0.3050174,GALAXY
1732800138180585472,0.011067,-0.40198001,0.1399817,GALAXY
3179653286923888640,0.011138,28.634545,-0.0002078181,STAR
4815507529046618112,0.0111499999999864,2.5100352,0.2669858,GALAXY
7745181292476166144,0.0111754580000252,22.342851,0.6363044,GALAXY
8032331948662386688,0.0112639999999828,31.042071,0.4780163,GALAXY
6950309697090678784,0.0114184760000171,17.413001,0.5649827,GALAXY
6898655191177555968,0.0116687600000205,19.869947,0.4753968,GALAXY
7333043102766788608,0.0116809859999876,24.097007,0.5012634,GALAXY
6960495297127182336,0.0116861299999869,11.277887,4.010692,QSO
844472796384880640,0.011762106,14.715548,0.06258312,GALAXY
7330763265356263424,0.0118490130000168,27.594665,0.4599418,GALAXY
8046848525940224000,0.0118553249999991,-7.8050478,0.8834394,GALAXY
7337764406032003072,0.0118565299999887,26.36463,0.5530715,GALAXY
6879491528223027200,0.0118776819999766,21.560038,0.2812466,GALAXY
8069405282365272064,0.0118825729999799,-10.632287,0.2975339,GALAXY
8043637402063532032,0.012020514000028,34.105223,0.1423635,GALAXY
3156029178680207360,0.012103,28.495568,-0.0001636879,STAR
8043494465551921152,0.0121766760000241,32.486877,0.1480358,QSO
6946954812269981696,0.0122000939999793,20.505949,0.379559,GALAXY
6954845183058571264,0.0122320219999779,15.227382,0.6325236,GALAXY
771370940641601536,0.012351229,0.71799316,0.08243899,GALAXY
6911908702963036160,0.0124010089999729,15.942756,0.5948514,GALAXY
7745215102458720256,0.0125701430000049,23.790475,0.5733939,QSO
7316140036004179968,0.0125846430000252,30.79893,-0.000685108,STAR
6954853429395779584,0.0127297469999803,14.252732,0.5855683,GALAXY
7919751303793405952,0.0127564430000007,-3.5457799,0.5973175,GALAXY
3177374548018358272,0.01281,24.650278,-0.00106323,STAR
4902354933967941632,0.0128369600000156,-2.231727,0.5024324,GALAXY
1228494286006282240,0.013128,0.35925,2.523268E-05,STAR
4836966147612667904,0.0132383470000264,1.2529646,2.354148,QSO
6949226128901599232,0.0132682839999916,17.042771,0.4863657,GALAXY
7745180742720352256,0.0133776380000086,22.202565,0.5219598,GALAXY
6954848756471361536,0.0133962799999949,14.87289,5.874615E-05,STAR
7745224723185463296,0.0134274750000145,22.861663,0.5170045,GALAXY
771305244821841920,0.013429198,-1.1130411,0.02177868,GALAXY
6926550349084553216,0.0134515880000095,8.2870543,0.489089,GALAXY
7745182391987793920,0.0135919800000011,22.379801,0.6882237,GALAXY
6960498045906251776,0.0136731640000107,10.962391,1.833563,QSO
3179651087900633088,0.013678183,28.958817,0.7034287,GALAXY
3179654936191330304,0.013693,28.363382,-0.001070148,STAR
6960406511563239424,0.0137408389999791,10.12816,0.3770947,GALAXY
8047035442916945920,0.0137429750000138,-6.2948511,0.2515358,GALAXY
7316157353312317440,0.0137723700000265,31.231752,0.529474,GALAXY
4970977379155111936,0.0138639209999951,5.0069644,0.357818,GALAXY
731892974639671296,0.013896299,-10.721102,0.08281697,GALAXY
4970978203788832768,0.013907818000007,5.3605882,0.5654761,GALAXY
6946931997403705344,0.0141572509999719,18.776231,0.5854706,GALAXY
8047034618283225088,0.0142095850000032,-6.2631399,0.5803407,GALAXY
6960491173958578176,0.0142427659999953,11.875696,0.0002291874,STAR
